1;text;Lucas Carmohn;../static/data/images/lcarmohn/img_avatar.png;1615804639;Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren,no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.
2;image;Lucas Carmohn;../static/data/images/lcarmohn/img_avatar.png;1615804639;../static/data/images/lcarmohn/dummy.jpg;dummy;dummy;test
3;video;Lucas Carmohn;../static/data/images/lcarmohn/img_avatar.png;1615804639;../static/data/images/lcarmohn/dummy.mp4;posterimage.jpg
4;video;Lucas Carmohn;../static/data/images/lcarmohn/img_avatar.png;1615804639;../static/data/images/lcarmohn/dummy.mp4;posterimage.jpg
5;text;Max Decken;../static/data/images/lcarmohn/img_avatar.png;1616045839;das ist ein neuer testpost von mir
6;text;Max Decken;../static/data/images/lcarmohn/img_avatar.png;1616045839;testtestetstetstetst
7;text;Max Decken;../static/data/images/lcarmohn/img_avatar.png;1616045839;test
8;text;Max Decken;../static/data/images/lcarmohn/img_avatar.png;1616045839;test
9;text;Max Decken;../static/data/images/lcarmohn/img_avatar.png;1616045839;ein weiter test
text;Max Decken;../static/data/images/lcarmohn/img_avatar.png;1616045839;test 123456789
text;Max Decken;../static/data/images/lcarmohn/img_avatar.png;1616045839;uknlulim.in
12;text;Max Decken;../static/data/images/lcarmohn/img_avatar.png;1616045839;das ist das haus vom nikolaus
13;text;Max Decken;../static/data/images/lcarmohn/img_avatar.png;1616045839;post 234
14;text;Max Decken;../static/data/images/lcarmohn/img_avatar.png;1616068270;test for timestamp
